Invoice number,5408929792,
Invoice date,2025-10-31,
Due date,2025-11-30,
Billing ID,1423-1691-4037,
Billing account ID,01278F-54FA42-121C45,
Currency,USD,
Currency exchange rate,1,
Total amount due,$20.70,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Artifact Registry,149C-F9EC-3994,Artifact Registry Network Intra Region Egress,546B-E8F2-6FF5,Default,,Usage,2025-10-13,2025-10-13,0.138,gibibyte,0.000000,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Instance-based billing) in us-central1,011E-3072-CBDB,Default,,Usage,2025-10-12,2025-10-12,480.474,second,0.008648,0.01
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Instance-based billing) in us-central1,F6D2-B591-E54F,Default,,Usage,2025-10-12,2025-10-12,120.141,gibibyte second,0.000240,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,Default,,Usage,2025-10-12,2025-10-29,0.648,tebibyte,0.000000,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Instance-based billing) in us-central1,F6D2-B591-E54F,,SPENDING_BASED_DISCOUNT,Usage,2025-10-12,2025-10-12,,,-0.000240,-0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Instance-based billing) in us-central1,011E-3072-CBDB,,SPENDING_BASED_DISCOUNT,Usage,2025-10-12,2025-10-12,,,-0.008648,-0.01
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Hong Kong,7EDC-324D-8320,Default,,Usage,2025-10-09,2025-10-25,0.001,gibibyte,0.000000,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to China,9DE9-9092-B3BC,Default,,Usage,2025-10-08,2025-10-29,0,gibibyte,0.000014,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,Default,,Usage,2025-10-05,2025-10-27,179.183,minute,0.000000,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Hong Kong to Americas,4B24-F362-2296,Default,,Usage,2025-10-04,2025-10-25,0.001,gibibyte,0.000000,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Madrid,EFDD-0A28-5372,Default,,Usage,2025-10-03,2025-10-20,0,gibibyte,0.000003,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Min Instance CPU (Request-based billing),7EBB-8579-2C98,Default,,Usage,2025-10-02,2025-10-23,165.919,second,0.000414,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Min Instance Memory (Request-based billing),740D-08F2-7A11,Default,,Usage,2025-10-02,2025-10-23,113.414,gibibyte second,0.000282,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out Europe to Europe,0C22-3157-F0C9,Default,,Usage,2025-10-02,2025-10-27,0,gibibyte,0.000011,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,Default,,Usage,2025-10-02,2025-10-31,0.002,gibibyte,0.000004,0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Min Instance CPU (Request-based billing),7EBB-8579-2C98,,SPENDING_BASED_DISCOUNT,Usage,2025-10-02,2025-10-02,,,-0.000152,-0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Min Instance Memory (Request-based billing),740D-08F2-7A11,,SPENDING_BASED_DISCOUNT,Usage,2025-10-02,2025-10-23,,,-0.000282,-0.00
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,Default,,Usage,2025-10-01,2025-10-31,"969,598.161",second,23.269370,23.27
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],VM Manager,5E18-9A83-2867,VM Manager Usage (Cloud Ops),210B-55F7-AA37,Default,,Usage,2025-10-01,2025-10-31,744,count,2.232000,2.23
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,Default,,Usage,2025-10-01,2025-10-31,"493,602.05",gibibyte second,1.233076,1.23
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,Default,,Usage,2025-10-01,2025-10-31,744,count,0.818400,0.82
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,Default,,Usage,2025-10-01,2025-10-31,744,count,0.818400,0.82
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Build time n1-highcpu-8,A895-6CB0-025F,Default,,Usage,2025-10-01,2025-10-13,38.817,minute,0.621061,0.62
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,Default,,Usage,2025-10-01,2025-10-31,744,count,0.595200,0.60
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,Default,,Usage,2025-10-01,2025-10-31,5.025,gibibyte month,0.451283,0.45
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Storage PD Snapshot in US,34CF-7D88-5D40,Default,,Usage,2025-10-01,2025-10-31,2.491,gibibyte month,0.160619,0.16
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Compute Engine,6F81-5844-456A,Storage PD Snapshot,817F-F5A3-514E,Default,,Usage,2025-10-01,2025-10-31,2.73,gibibyte month,0.135180,0.14
My Billing Account,01278F-54FA42-121C45,n8nsj,n8n-video-automation-460823,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,"Cloud Run Network Internet Data Transfer Out Intercontinental (Excl Oceania, Africa and China)",DBAA-7594-B9FA,Default,,Usage,2025-10-01,2025-10-29,0.038,gibibyte,0.004387,0.00
